시설ID,시설명,서비스분류코드,서비스분류,자치구코드,자치구명,연령구분코드,연령구분,X좌표값,Y좌표값,우편번호,기본주소,상세주소,연락처,사용료,학기시작시간,학기종료시간,방학시작시간,방학종료시간,토요일운영여부,토요일운영시작시간,토요일운영종료시간,설립일,수정일시
JN220301,친구네지역아동센터,1003,지역아동센터,11110,종로구,1003,초등학생,,,,,,02-745-0794,,,,,,N,,,2022.3.5 16:55,
KC220201,함사람지역아동센터,1003,지역아동센터,11545,금천구,1003,초등학생,,,,,,02-805-7283,,,,,,N,,,2022.2.4 16:55,
GB220104,돌산공부방지역아동센터,1003,지역아동센터,11305,강북구,1003,초등학생,127.02267,37.61885,1201,서울특별시 강북구 솔샘로 272,(미아동) (미아동),02-986-2882,0,1300,2130,,,N,,,2022.1.18 16:55,2022.2.28 16:05
DJ220103,상도푸른지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.94571,37.49831,7035,서울특별시 동작구 양녕로28길 35, (상도동),02-825-9111,0,1100,2100,,,N,,,2022.1.13 16:55,2022.2.28 16:07
SC220101,서초지역아동센터,1003,지역아동센터,11650,서초구,1003,초등학생,,,,,,02-522-9526,,,,,,N,,,2022.1.12 17:09,
SC220102,하나복지지역아동센터,1003,지역아동센터,11650,서초구,1003,초등학생,,,,,,02-523-0153,,,,,,N,,,2022.1.12 17:09,
GB220101,늘품,1003,지역아동센터,11305,강북구,1003,초등학생,127.0103,37.64431,1015,서울특별시 강북구 인수봉로77길 7,2층 (수유동),02-6487-7942,0,1000,1900,1000,1900,N,,,2022.1.12 17:09,2022.2.28 16:57
GB220102,으뜸,1003,지역아동센터,11305,강북구,1003,초등학생,127.01478,37.64658,1029,서울특별시 강북구 삼양로 487,2층 (수유동),02-918-0865,0,900,2000,900,2000,Y,900,2000,2022.1.12 17:09,2022.2.28 16:41
DJ220102,위더스틴즈지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.94135,37.50393,6966,서울특별시 동작구 장승배기로10가길 124,2층 (상도동),070-4848-3067,0,1200,2200,,,N,,,2022.1.11 17:08,2022.2.28 16:22
DJ220101,위더스지역아동센터,1003,지역아동센터,11590,동작구,1003,초등학생,126.93973,37.50418,6963,서울특별시 동작구 장승배기로10가길 1, (상도동),02-815-5229,0,1100,2100,,,N,,,2022.1.11 17:08,2022.2.28 16:19
SP220101,해밀지역아동센터,1003,지역아동센터,11710,송파구,1005,초중생,127.14212,37.50133,5731,서울특별시 송파구 문정로 259,401호 (오금동),02-401-1557,0,1030,1930,,,N,,,2022.1.8 17:18,2022.2.28 16:47
GS220105,경향지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.8517,37.55719,7590,서울특별시 강서구 화곡로63길 19,경향교회 교육관 3층 (등촌동),02-3664-1516,,1100,2100,1000,2000,N,,,2022.1.7 17:18,2022.1.17 16:32
GS220104,화곡지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.8591,37.53274,7738,서울특별시 강서구 등촌로5길 79, (화곡동),02-2651-1353,0,900,2100,900,2100,Y,900,1800,2022.1.7 17:18,2022.2.28 16:54
GS220103,큰미래지역아동센터,1003,지역아동센터,11500,강서구,1003,초등학생,126.81375,37.5641,7616,서울특별시 강서구 방화대로23길 49-5,1층 (공항동),02-6487-8292,0,1000,2100,1000,2100,Y,1000,1600,2022.1.6 17:25,2022.2.28 16:46
YC220101,아름드리지역아동센터,1003,지역아동센터,11470,양천구,1003,초등학생,,,,,,02-2643-1296,,,,,,N,,,2022.1.6 17:25,
