"행정구역","2011년_계_총인구수","2011년_계_연령구간인구수","2011년_계_0~9세","2011년_계_10~19세","2011년_계_20~29세","2011년_계_30~39세","2011년_계_40~49세","2011년_계_50~59세","2011년_계_60~69세","2011년_계_70~79세","2011년_계_80~89세","2011년_계_90~99세","2011년_계_100세 이상","2011년_남_총인구수","2011년_남_연령구간인구수","2011년_남_0~9세","2011년_남_10~19세","2011년_남_20~29세","2011년_남_30~39세","2011년_남_40~49세","2011년_남_50~59세","2011년_남_60~69세","2011년_남_70~79세","2011년_남_80~89세","2011년_남_90~99세","2011년_남_100세 이상","2011년_여_총인구수","2011년_여_연령구간인구수","2011년_여_0~9세","2011년_여_10~19세","2011년_여_20~29세","2011년_여_30~39세","2011년_여_40~49세","2011년_여_50~59세","2011년_여_60~69세","2011년_여_70~79세","2011년_여_80~89세","2011년_여_90~99세","2011년_여_100세 이상"
"서울특별시  (1100000000)","10,249,679","10,249,679","836,648","1,203,517","1,529,819","1,831,942","1,744,590","1,560,094","894,338","476,034","146,509","22,602","3,586","5,073,899","5,073,899","430,395","630,552","762,432","928,074","875,411","754,039","430,769","210,482","45,079","5,772","894","5,175,780","5,175,780","406,253","572,965","767,387","903,868","869,179","806,055","463,569","265,552","101,430","16,830","2,692"
"서울특별시 종로구 (1111000000)","168,382","168,382","10,694","19,018","25,300","26,120","29,558","26,195","16,538","10,692","3,466","667","134","83,931","83,931","5,513","10,066","13,013","13,312","14,882","13,128","7,732","4,770","1,243","229","43","84,451","84,451","5,181","8,952","12,287","12,808","14,676","13,067","8,806","5,922","2,223","438","91"
"서울특별시 중구 (1114000000)","133,193","133,193","9,331","12,550","18,865","23,167","22,528","21,551","13,607","8,276","2,760","459","99","67,065","67,065","4,717","6,533","9,707","12,090","11,940","10,930","6,513","3,531","918","158","28","66,128","66,128","4,614","6,017","9,158","11,077","10,588","10,621","7,094","4,745","1,842","301","71"
"서울특별시 용산구 (1117000000)","246,501","246,501","19,116","24,189","34,377","46,388","41,965","36,556","23,074","14,931","4,949","760","196","120,183","120,183","9,734","12,689","16,775","23,278","21,273","17,561","10,568","6,301","1,700","250","54","126,318","126,318","9,382","11,500","17,602","23,110","20,692","18,995","12,506","8,630","3,249","510","142"
"서울특별시 성동구 (1120000000)","300,711","300,711","24,783","31,836","44,536","55,671","51,833","44,909","26,778","15,292","4,297","653","123","150,655","150,655","12,641","16,390","22,627","28,433","27,142","22,496","12,649","6,682","1,388","174","33","150,056","150,056","12,142","15,446","21,909","27,238","24,691","22,413","14,129","8,610","2,909","479","90"
"서울특별시 광진구 (1121500000)","371,936","371,936","28,104","43,781","62,566","68,193","64,049","55,573","29,160","15,204","4,482","712","112","184,103","184,103","14,398","22,831","30,486","34,663","32,074","27,018","14,198","6,814","1,425","171","25","187,833","187,833","13,706","20,950","32,080","33,530","31,975","28,555","14,962","8,390","3,057","541","87"
"서울특별시 동대문구 (1123000000)","365,486","365,486","27,770","38,209","55,960","63,327","59,558","57,081","36,220","20,725","5,596","892","148","183,925","183,925","14,159","19,932","28,914","33,107","31,020","28,046","17,289","9,309","1,843","266","40","181,561","181,561","13,611","18,277","27,046","30,220","28,538","29,035","18,931","11,416","3,753","626","108"
"서울특별시 중랑구 (1126000000)","423,706","423,706","31,906","48,822","62,958","71,330","73,711","69,754","38,674","19,872","5,703","879","97","212,291","212,291","16,337","25,541","31,789","37,004","37,535","34,583","18,724","8,938","1,641","179","20","211,415","211,415","15,569","23,281","31,169","34,326","36,176","35,171","19,950","10,934","4,062","700","77"
"서울특별시 성북구 (1129000000)","485,171","485,171","42,850","52,987","71,024","86,678","80,986","71,589","44,604","25,798","7,291","1,151","213","239,726","239,726","22,126","27,469","35,297","43,974","41,404","34,493","20,900","11,456","2,273","274","60","245,445","245,445","20,724","25,518","35,727","42,704","39,582","37,096","23,704","14,342","5,018","877","153"
"서울특별시 강북구 (1130500000)","345,054","345,054","25,984","37,862","47,221","59,140","57,457","54,341","36,786","20,113","5,146","834","170","170,906","170,906","13,329","19,781","23,928","30,834","29,161","25,837","16,909","9,207","1,665","210","45","174,148","174,148","12,655","18,081","23,293","28,306","28,296","28,504","19,877","10,906","3,481","624","125"
"서울특별시 도봉구 (1132000000)","365,573","365,573","28,953","45,817","52,129","57,293","63,681","60,016","32,355","18,800","5,687","751","91","181,004","181,004","14,828","24,083","26,764","28,901","31,125","29,170","15,767","8,270","1,885","196","15","184,569","184,569","14,125","21,734","25,365","28,392","32,556","30,846","16,588","10,530","3,802","555","76"
"서울특별시 노원구 (1135000000)","603,930","603,930","52,079","87,895","81,397","96,576","111,603","90,263","45,749","27,483","9,429","1,301","155","295,551","295,551","26,796","46,445","41,134","47,533","54,087","43,953","21,393","11,014","2,810","333","53","308,379","308,379","25,283","41,450","40,263","49,043","57,516","46,310","24,356","16,469","6,619","968","102"
"서울특별시 은평구 (1138000000)","493,634","493,634","41,959","58,019","66,065","87,165","83,581","74,952","46,632","26,517","7,421","1,048","275","242,779","242,779","21,560","29,960","32,971","44,040","41,898","35,847","21,759","12,025","2,439","246","34","250,855","250,855","20,399","28,059","33,094","43,125","41,683","39,105","24,873","14,492","4,982","802","241"
"서울특별시 서대문구 (1141000000)","314,852","314,852","23,728","35,638","47,154","52,961","53,420","46,519","29,810","19,208","5,475","802","137","154,033","154,033","12,210","18,407","23,447","26,817","26,820","22,340","13,569","8,374","1,778","244","27","160,819","160,819","11,518","17,231","23,707","26,144","26,600","24,179","16,241","10,834","3,697","558","110"
"서울특별시 마포구 (1144000000)","389,493","389,493","34,020","40,277","58,951","79,176","64,300","52,847","32,989","19,994","5,841","924","174","189,243","189,243","17,512","20,712","27,934","39,316","32,745","25,146","14,940","8,712","1,955","232","39","200,250","200,250","16,508","19,565","31,017","39,860","31,555","27,701","18,049","11,282","3,886","692","135"
"서울특별시 양천구 (1147000000)","500,210","500,210","41,898","77,497","68,204","76,237","97,484","76,697","36,367","18,364","6,485","893","84","248,927","248,927","21,692","41,286","34,547","37,317","47,631","38,358","18,442","7,583","1,842","211","18","251,283","251,283","20,206","36,211","33,657","38,920","49,853","38,339","17,925","10,781","4,643","682","66"
"서울특별시 강서구 (1150000000)","569,072","569,072","49,891","66,685","84,678","105,635","93,208","89,618","46,562","23,350","8,158","1,155","132","280,274","280,274","25,689","34,601","42,134","53,663","46,150","42,657","23,017","9,728","2,293","301","41","288,798","288,798","24,202","32,084","42,544","51,972","47,058","46,961","23,545","13,622","5,865","854","91"
"서울특별시 구로구 (1153000000)","427,468","427,468","40,017","44,904","60,697","84,045","67,996","65,897","39,294","18,601","5,190","726","101","215,474","215,474","20,631","23,606","30,547","43,749","35,239","31,816","19,673","8,492","1,541","158","22","211,994","211,994","19,386","21,298","30,150","40,296","32,757","34,081","19,621","10,109","3,649","568","79"
"서울특별시 금천구 (1154500000)","243,438","243,438","18,076","27,236","36,292","41,867","43,128","39,379","22,655","11,265","2,988","464","88","124,665","124,665","9,175","14,233","19,234","22,554","22,448","19,708","11,208","5,099","855","125","26","118,773","118,773","8,901","13,003","17,058","19,313","20,680","19,671","11,447","6,166","2,133","339","62"
"서울특별시 영등포구 (1156000000)","397,443","397,443","33,579","40,215","57,060","75,754","65,474","61,350","37,079","20,067","5,756","912","197","199,987","199,987","17,306","21,124","28,553","39,250","34,307","30,123","18,050","9,120","1,842","259","53","197,456","197,456","16,273","19,091","28,507","36,504","31,167","31,227","19,029","10,947","3,914","653","144"
"서울특별시 동작구 (1159000000)","401,408","401,408","32,774","41,212","65,162","76,621","61,999","58,779","37,683","20,095","5,967","967","149","197,672","197,672","16,887","21,459","32,323","39,359","31,204","27,412","17,727","9,082","1,939","241","39","203,736","203,736","15,887","19,753","32,839","37,262","30,795","31,367","19,956","11,013","4,028","726","110"
"서울특별시 관악구 (1162000000)","526,397","526,397","38,206","48,220","98,940","109,527","78,571","73,146","48,824","23,642","6,223","906","192","267,145","267,145","19,553","25,253","49,999","60,253","41,294","34,245","23,343","11,110","1,861","196","38","259,252","259,252","18,653","22,967","48,941","49,274","37,277","38,901","25,481","12,532","4,362","710","154"
"서울특별시 서초구 (1165000000)","433,564","433,564","37,797","55,346","63,420","78,313","75,737","63,172","36,401","16,338","5,842","1,083","115","209,902","209,902","19,428","28,869","30,240","37,077","36,807","29,803","17,823","7,818","1,741","268","28","223,662","223,662","18,369","26,477","33,180","41,236","38,930","33,369","18,578","8,520","4,101","815","87"
"서울특별시 강남구 (1168000000)","565,710","565,710","41,836","77,353","88,487","102,125","100,896","82,567","44,140","19,445","7,370","1,347","144","271,991","271,991","21,537","41,716","40,978","47,920","47,784","39,176","21,618","8,863","2,052","310","37","293,719","293,719","20,299","35,637","47,509","54,205","53,112","43,391","22,522","10,582","5,318","1,037","107"
"서울특별시 송파구 (1171000000)","682,209","682,209","59,357","87,006","103,979","122,367","117,696","105,624","52,471","23,879","8,376","1,320","134","334,494","334,494","30,797","44,946","50,798","59,654","57,850","50,656","26,604","10,454","2,394","301","40","347,715","347,715","28,560","42,060","53,181","62,713","59,846","54,968","25,867","13,425","5,982","1,019","94"
"서울특별시 강동구 (1174000000)","495,138","495,138","41,940","60,943","74,397","86,266","84,171","81,719","39,886","18,083","6,611","996","126","247,973","247,973","21,840","32,620","38,293","43,976","41,591","39,537","20,354","7,730","1,756","240","36","247,165","247,165","20,100","28,323","36,104","42,290","42,580","42,182","19,532","10,353","4,855","756","90"
