"행정구역","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_0~9세","2015년_계_10~19세","2015년_계_20~29세","2015년_계_30~39세","2015년_계_40~49세","2015년_계_50~59세","2015년_계_60~69세","2015년_계_70~79세","2015년_계_80~89세","2015년_계_90~99세","2015년_계_100세 이상","2015년_남_총인구수","2015년_남_연령구간인구수","2015년_남_0~9세","2015년_남_10~19세","2015년_남_20~29세","2015년_남_30~39세","2015년_남_40~49세","2015년_남_50~59세","2015년_남_60~69세","2015년_남_70~79세","2015년_남_80~89세","2015년_남_90~99세","2015년_남_100세 이상","2015년_여_총인구수","2015년_여_연령구간인구수","2015년_여_0~9세","2015년_여_10~19세","2015년_여_20~29세","2015년_여_30~39세","2015년_여_40~49세","2015년_여_50~59세","2015년_여_60~69세","2015년_여_70~79세","2015년_여_80~89세","2015년_여_90~99세","2015년_여_100세 이상"
"서울특별시  (1100000000)","10,022,181","10,022,181","783,299","985,790","1,447,221","1,668,253","1,701,609","1,588,333","1,037,752","582,367","192,801","29,719","5,037","4,930,943","4,930,943","401,797","510,041","723,200","837,657","849,573","773,917","492,879","266,597","66,262","7,727","1,293","5,091,238","5,091,238","381,502","475,749","724,021","830,596","852,036","814,416","544,873","315,770","126,539","21,992","3,744"
"서울특별시 종로구 (1111000000)","154,986","154,986","9,256","14,547","23,272","21,826","26,288","25,567","17,157","11,792","4,261","811","209","76,548","76,548","4,781","7,557","11,859","10,878","12,943","13,022","8,248","5,297","1,613","279","71","78,438","78,438","4,475","6,990","11,413","10,948","13,345","12,545","8,909","6,495","2,648","532","138"
"서울특별시 중구 (1114000000)","125,733","125,733","8,179","9,105","17,668","20,607","20,436","21,476","14,661","9,385","3,476","603","137","62,687","62,687","4,134","4,618","8,989","10,522","10,756","10,924","7,157","4,187","1,164","196","40","63,046","63,046","4,045","4,487","8,679","10,085","9,680","10,552","7,504","5,198","2,312","407","97"
"서울특별시 용산구 (1117000000)","233,342","233,342","16,967","19,844","31,451","39,187","40,283","36,760","24,511","16,669","6,287","1,094","289","113,177","113,177","8,554","10,341","15,375","19,425","20,270","18,062","11,260","7,153","2,292","364","81","120,165","120,165","8,413","9,503","16,076","19,762","20,013","18,698","13,251","9,516","3,995","730","208"
"서울특별시 성동구 (1120000000)","297,003","297,003","23,518","25,795","43,672","51,194","50,282","47,842","29,714","18,131","5,789","889","177","147,570","147,570","11,930","12,997","22,221","25,820","25,761","24,158","14,288","8,056","2,044","243","52","149,433","149,433","11,588","12,798","21,451","25,374","24,521","23,684","15,426","10,075","3,745","646","125"
"서울특별시 광진구 (1121500000)","360,369","360,369","25,934","34,438","59,063","63,288","60,793","56,898","34,360","18,622","5,923","895","155","176,884","176,884","13,295","17,698","28,841","31,699","30,017","27,864","16,459","8,723","2,024","232","32","183,485","183,485","12,639","16,740","30,222","31,589","30,776","29,034","17,901","9,899","3,899","663","123"
"서울특별시 동대문구 (1123000000)","360,153","360,153","26,070","31,248","54,417","57,581","58,356","57,670","40,283","25,283","7,882","1,135","228","180,485","180,485","13,379","15,964","28,232","29,789","30,339","28,713","19,278","11,545","2,841","345","60","179,668","179,668","12,691","15,284","26,185","27,792","28,017","28,957","21,005","13,738","5,041","790","168"
"서울특별시 중랑구 (1126000000)","413,909","413,909","30,010","37,183","58,824","66,193","68,323","73,072","46,158","25,170","7,742","1,087","147","206,505","206,505","15,349","19,276","29,546","34,546","34,771","36,307","22,309","11,606","2,520","245","30","207,404","207,404","14,661","17,907","29,278","31,647","33,552","36,765","23,849","13,564","5,222","842","117"
"서울특별시 성북구 (1129000000)","459,275","459,275","37,292","44,817","65,412","70,999","80,227","70,884","47,885","30,321","9,756","1,401","281","224,980","224,980","19,107","22,911","32,550","35,530","40,605","34,385","22,401","13,625","3,432","357","77","234,295","234,295","18,185","21,906","32,862","35,469","39,622","36,499","25,484","16,696","6,324","1,044","204"
"서울특별시 강북구 (1130500000)","330,873","330,873","22,657","30,285","43,412","49,586","55,637","55,218","39,918","25,725","7,195","1,013","227","162,967","162,967","11,635","15,717","21,969","25,906","28,204","26,822","18,147","11,605","2,642","259","61","167,906","167,906","11,022","14,568","21,443","23,680","27,433","28,396","21,771","14,120","4,553","754","166"
"서울특별시 도봉구 (1132000000)","351,242","351,242","25,890","35,801","47,806","50,550","59,102","61,270","38,841","22,944","7,828","1,086","124","173,029","173,029","13,442","18,483","24,648","25,742","28,930","29,358","18,924","10,467","2,730","285","20","178,213","178,213","12,448","17,318","23,158","24,808","30,172","31,912","19,917","12,477","5,098","801","104"
"서울특별시 노원구 (1135000000)","574,583","574,583","45,452","71,635","77,604","82,395","104,721","92,361","54,711","31,752","12,000","1,733","219","279,987","279,987","23,320","37,384","39,907","40,784","50,263","44,806","25,773","13,419","3,849","413","69","294,596","294,596","22,132","34,251","37,697","41,611","54,458","47,555","28,938","18,333","8,151","1,320","150"
"서울특별시 은평구 (1138000000)","497,920","497,920","39,466","49,456","65,211","80,013","85,631","78,965","53,795","33,317","10,264","1,461","341","242,975","242,975","20,255","25,401","32,441","40,174","42,781","37,815","24,862","15,061","3,736","401","48","254,945","254,945","19,211","24,055","32,770","39,839","42,850","41,150","28,933","18,256","6,528","1,060","293"
"서울특별시 서대문구 (1141000000)","312,141","312,141","22,476","29,179","47,147","47,840","52,545","48,798","32,575","22,664","7,580","1,138","199","152,008","152,008","11,574","14,806","23,670","24,056","26,269","23,721","14,890","9,897","2,764","316","45","160,133","160,133","10,902","14,373","23,477","23,784","26,276","25,077","17,685","12,767","4,816","822","154"
"서울특별시 마포구 (1144000000)","387,643","387,643","31,587","34,744","58,681","72,731","66,902","55,201","35,148","23,143","8,044","1,212","250","186,495","186,495","16,132","17,657","27,751","35,391","33,566","26,721","15,859","10,136","2,898","329","55","201,148","201,148","15,455","17,087","30,930","37,340","33,336","28,480","19,289","13,007","5,146","883","195"
"서울특별시 양천구 (1147000000)","484,532","484,532","39,013","63,344","65,341","69,223","90,418","80,215","45,584","22,078","7,983","1,201","132","239,995","239,995","20,081","33,483","33,399","34,247","43,422","40,040","22,636","9,908","2,475","274","30","244,537","244,537","18,932","29,861","31,942","34,976","46,996","40,175","22,948","12,170","5,508","927","102"
"서울특별시 강서구 (1150000000)","589,074","589,074","50,383","55,998","83,941","106,920","95,417","93,601","60,884","29,298","10,807","1,634","191","287,947","287,947","25,707","28,677","41,152","54,291","47,634","44,315","29,069","13,233","3,402","411","56","301,127","301,127","24,676","27,321","42,789","52,629","47,783","49,286","31,815","16,065","7,405","1,223","135"
"서울특별시 구로구 (1153000000)","422,092","422,092","38,029","37,129","56,806","75,923","68,645","66,292","46,560","24,360","7,265","946","137","210,440","210,440","19,296","19,301","28,205","38,813","35,534","32,356","22,636","11,559","2,492","215","33","211,652","211,652","18,733","17,828","28,601","37,110","33,111","33,936","23,924","12,801","4,773","731","104"
"서울특별시 금천구 (1154500000)","236,284","236,284","16,328","20,752","34,550","37,628","39,528","41,742","26,502","14,324","4,204","598","128","120,604","120,604","8,327","10,696","18,185","20,518","20,425","21,155","12,968","6,699","1,431","158","42","115,680","115,680","8,001","10,056","16,365","17,110","19,103","20,587","13,534","7,625","2,773","440","86"
"서울특별시 영등포구 (1156000000)","378,504","378,504","29,502","31,029","54,712","68,215","61,493","60,002","40,948","23,502","7,721","1,162","218","189,394","189,394","15,134","16,233","26,760","35,132","32,003","30,171","19,860","10,848","2,850","344","59","189,110","189,110","14,368","14,796","27,952","33,083","29,490","29,831","21,088","12,654","4,871","818","159"
"서울특별시 동작구 (1159000000)","400,641","400,641","31,342","34,494","63,113","71,143","63,573","60,339","42,259","24,838","8,054","1,261","225","196,463","196,463","16,201","17,838","31,643","35,928","32,118","28,422","19,495","11,506","2,920","323","69","204,178","204,178","15,141","16,656","31,470","35,215","31,455","31,917","22,764","13,332","5,134","938","156"
"서울특별시 관악구 (1162000000)","509,663","509,663","33,191","38,649","94,582","98,352","78,122","72,772","53,670","30,625","8,305","1,152","243","257,491","257,491","17,051","19,929","47,710","53,495","41,501","35,122","24,838","14,580","2,946","264","55","252,172","252,172","16,140","18,720","46,872","44,857","36,621","37,650","28,832","16,045","5,359","888","188"
"서울특별시 서초구 (1165000000)","446,764","446,764","42,159","50,436","59,466","76,749","81,327","63,601","42,630","21,375","7,400","1,439","182","214,737","214,737","21,608","25,861","28,549","35,431","39,315","30,528","19,893","10,484","2,645","377","46","232,027","232,027","20,551","24,575","30,917","41,318","42,012","33,073","22,737","10,891","4,755","1,062","136"
"서울특별시 강남구 (1168000000)","576,495","576,495","44,866","68,049","83,293","100,853","104,137","84,565","54,003","25,811","8,950","1,754","214","276,425","276,425","23,135","35,950","39,950","46,463","48,872","41,074","24,994","12,604","2,920","413","50","300,070","300,070","21,731","32,099","43,343","54,390","55,265","43,491","29,009","13,207","6,030","1,341","164"
"서울특별시 송파구 (1171000000)","660,302","660,302","56,779","70,908","93,616","114,278","113,482","104,466","65,430","29,209","10,204","1,730","200","322,441","322,441","29,133","36,359","46,435","55,102","55,368","50,137","32,218","13,900","3,318","415","56","337,861","337,861","27,646","34,549","47,181","59,176","58,114","54,329","33,212","15,309","6,886","1,315","144"
"서울특별시 강동구 (1174000000)","458,658","458,658","36,953","46,925","64,161","74,979","75,941","78,756","49,565","22,029","7,881","1,284","184","228,709","228,709","19,237","24,904","33,213","37,975","37,906","37,919","24,417","10,499","2,314","269","56","229,949","229,949","17,716","22,021","30,948","37,004","38,035","40,837","25,148","11,530","5,567","1,015","128"
