시군구별,합계출산율,모의 연령별출산율:15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
서울특별시,1.001,1,6.4,38.1,100.4,49.6,6,0.2
종로구,0.813,0.5,5.8,26.8,79.9,45.1,4.9,0
중구,0.946,1.1,4.6,34.6,93,49.6,7.7,0.6
용산구,1.005,0.6,5.4,35.4,101,53.2,7.8,0.1
성동구,1.095,0.5,6.2,40.8,109.9,55.6,7.7,0.3
광진구,0.903,0.6,5.5,32.4,91.2,46.6,6.2,0
동대문구,0.96,0.6,6.7,35.3,97,46.9,6.5,0
중랑구,1.051,1.1,9.5,39.5,103.4,51.6,6.7,0.1
성북구,0.991,1.2,5.7,36.8,101.1,47.1,6.3,0.3
강북구,0.922,1.2,10.9,37.7,86,42.8,6.3,0.1
도봉구,1.01,1.1,7,39.9,102.7,45.9,4.9,0.1
노원구,1.096,0.6,5.2,48,113.4,47.1,4.6,0.1
은평구,1.003,1.1,7.5,44.8,95,46.3,5.8,0.2
서대문구,0.913,1.1,5.2,33.5,88.8,46.9,7,0
마포구,0.986,3.1,5.2,38,96.6,49.4,6.8,0.2
양천구,1.034,0.5,5.6,42.8,106.6,46.7,4.3,0
강서구,1.129,0.8,8.4,48.4,110.6,54.6,5.5,0.1
구로구,1.169,1.3,8.4,46.6,117.6,56.2,6.6,0.1
금천구,1.086,2.5,10.1,43.7,104.1,53,4.9,0.2
영등포구,1.085,0.3,6.2,40.1,110.7,56,6.1,0.2
동작구,1.012,0.6,6.4,32.8,102.2,55.7,6.5,0.3
관악구,0.833,1.4,7.4,25.7,83.1,43.8,6.2,0.1
서초구,1.012,0.1,2.9,36,106.4,52,6.7,0.3
강남구,0.857,2,4,29.5,84.6,46.6,6.6,0.2
송파구,1.008,0.6,5.5,40.2,103.6,49.3,5.1,0.1
강동구,1.036,0.9,6.3,40.6,104.3,51.4,5.3,0.3
